"","start","end","survey_type","survey_id","survey_version","country","community","sex","gear_handline","gear_spear","gear_traps","gear_gill_net","gear_mobile_net","gear_stationary_line","gear_other","other_gear","tech_smartphone","tech_maps","tech_socialmedia","tech_other","tech_no_tech","other_tech","fishtech_vhf","fishtech_fishfinder","fishtech_survcam","fishtech_catchapp","fishtech_vesseltrack","fishtech_gps","fishtech_other","fishtech_none","other_fishtech","text_vms","choice","package_nopackage","wtp_1","wtp_2","wtp_3","wtp_4","wtr_1","wtr_2","wtr_3","wtr_4","design_a","design_b","design_c","design_d","design_e","design_f","design_g","design_h","design_i","fraction_personal","fraction_neighbor","fraction_local_trade","fraction_export","fraction_other","other_fraction","mpa","rank_one","rank_two","rank_three","rank_four","age","years_fishing","education","other_education","income","income_fishing","income_expenses"
"67",2019-07-04 08:59:44,2019-07-05 03:21:00,"D",3045,13,"IND","MAK","M",0,0,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,0,1,0,"Kompas",,2,1,"y","n",,,,,,,0,0,1,1,1,0,0,0,0,0,0,100,0,0,,"n","weather","pollution","iuu","corruption",40,20,"primary",,2e+06,100,15
"68",2019-07-04 09:20:11,2019-07-05 05:55:33,"D",3046,14,"IND","MAK","M",0,0,0,0,1,0,0,"Liftnet (Jaring angkat)",1,0,0,0,0,,0,0,0,0,0,0,0,1,,,2,0,,,,,"n","n","n","n",0,0,1,0,1,0,0,0,0,0,0,100,0,0,,"n","weather","pollution","iuu","corruption",39,12,"primary",,2e+06,100,10
"69",2019-07-05 03:09:44,2019-07-05 03:28:10,"D",3047,4,"IND","MAK","M",0,0,0,1,0,0,0,,0,0,0,0,1,,0,0,0,0,0,0,0,1,,,2,0,,,,,"y",,,,0,0,1,0,0,0,0,0,0,0,0,100,,,,"y","weather","pollution","iuu","corruption",43,20,"primary",,1e+06,100,0
"70",2019-07-05 03:30:32,2019-07-05 03:41:17,"D",3048,6,"IND","MAK","M",0,0,0,1,0,0,0,,0,0,1,0,0,,0,0,0,0,0,0,0,1,,,2,1,"y","n",,,,,,,0,1,1,0,0,0,0,0,0,5,0,95,0,0,"Eat on the boat","n","weather","iuu","corruption","pollution",29,10,"primary",,1500000,100,0
"71",2019-07-05 03:36:41,2019-07-05 03:49:42,"D",3049,4,"IND","MAK","M",0,0,0,0,1,0,0,"Liftnet (Jaring angkat)",1,0,0,0,0,,0,0,0,0,0,0,0,1,,,1,1,"n",,,,,,,,0,0,1,0,1,0,0,0,0,0,0,100,0,0,,"n","weather","pollution","iuu","corruption",55,40,"primary",,2e+06,100,40
"72",2019-07-05 03:50:07,2019-07-05 03:57:14,"D",3050,14,"IND","MAK","M",0,0,0,1,0,0,0,,1,0,0,0,0,,0,0,0,0,0,0,0,1,,,2,1,"y","n",,,,,,,0,0,1,0,0,0,0,0,0,,0,100,,,,"n","weather","corruption","pollution",,41,20,"primary",,2e+06,100,0
"73",2019-07-05 03:54:35,2019-07-05 04:25:06,"D",3051,4,"IND","MAK","M",0,0,0,0,0,0,1,"Jaring udang",0,0,0,0,1,"Tidak mengerti teknologi bahkan handphone",0,0,0,0,0,0,0,1,,,1,0,,,,,"n","n","n","n",0,0,1,0,0,0,0,0,0,0,0,100,0,0,,"n","weather","pollution","iuu","corruption",65,50,"primary",,1500000,100,30
"74",2019-07-05 03:59:12,2019-07-05 04:10:01,"D",3052,8,"IND","MAK","M",0,0,0,1,0,0,0,,1,0,0,0,0,,0,0,0,0,0,0,0,1,,,2,1,"n",,,,,,,,0,1,1,0,0,0,0,0,0,,,100,,,,"y","pollution","weather",,,30,15,"primary",,7e+05,100,0
"75",2019-07-05 04:07:22,2019-07-05 04:25:37,"D",3053,6,"IND","MAK","M",0,0,0,0,0,0,1,"Jaring udang",0,0,0,0,1,"Tidak menggunakan teknologi apapun sehari hari",0,0,0,0,0,0,0,1,,,2,1,"n",,,,,,,,0,0,1,0,1,0,0,0,0,0,0,100,0,0,,"n","weather","pollution","iuu","corruption",25,10,"primary",,1500000,100,25
"76",2019-07-05 04:17:58,2019-07-05 04:26:02,"D",3054,2,"IND","MAK","M",0,0,0,0,0,0,1,"Jaring udang",1,0,0,0,0,,0,0,0,0,0,0,0,1,,,1,1,"n",,,,,,,,0,1,1,1,1,0,0,0,0,,,,,,,"n","weather","pollution","iuu","corruption",20,5,"primary","Tidak menyelesaikan SD",1500000,100,20
